Name,Date,Location,Type,Region,Latitude,Longitude
Art and Life Along the Northwest Coast,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024|Benaroya Hall,4/12/2024 through 4/13/2024,Music,Downtown,,
Tropical Pacific,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown,15.6719272,121.0857257
The Lower Depths,2/6/2024 through 2/24/2024|Erickson Theatre,2/6/2024 through 2/24/2024,Theatre,Capitol Hill / Central District,,
Aryana Leon,1/25/2024|Barboza,1/25/2024,Music,Capitol Hill / Central District,49.3840843,18.6000893
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024|Seattle Convention Center,2/14/2024 through 2/18/2024,Festivals & Special Events,Downtown,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Not Available,Top Results,,Not Available,Not Available,,
Infinite Worlds of Science Fiction,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Seattle Kraken vs. Montreal Canadiens,3/24/2024|Climate Pledge Arena,3/24/2024,Sports,Queen Anne / Seattle Center,,
Pacific Species,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
Sergio Mendes,2/1/2024 through 2/4/2024|Dimitriou's Jazz Alley,2/1/2024 through 2/4/2024,Music,Downtown,,
Not Available,Top Results,,Not Available,Not Available,,
James Miles,1/25/2024|Town Hall Seattle,1/25/2024,Readings & Lectures,Downtown,49.3840843,18.6000893
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024|Frye Art Museum,1/27/2024 through 5/5/2024,Museums,Capitol Hill / Central District,,
Kazu Kibuishi with Donna Barba Higuera,2/6/2024|Town Hall Seattle,2/6/2024,Readings & Lectures,Downtown,47.84640885,19.09982796966179
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing|Wing Luke Museum,Ongoing,Museums,International District,15.6719272,121.0857257
Seattle Kraken vs. Winnipeg Jets,3/8/2024|Climate Pledge Arena,3/8/2024,Sports,Queen Anne / Seattle Center,49.3840843,18.6000893
Small Island Big Song,2/24/2024|Meany Center for the Performing Arts,2/24/2024,Music,University District,47.5819462,19.0548965
Savor Seattle Signature Tour: Pike Place Market,Ongoing|Pike Place Market,Ongoing,Tours & Attractions,Downtown,15.6719272,121.0857257
Untold Stories: World War II at 75,Ongoing|The Museum of Flight,Ongoing,Museums,South Seattle,15.6719272,121.0857257
Great Hall of Washington History,Ongoing|Washington State History Museum,Ongoing,Museums,South,15.6719272,121.0857257
Bohemia,Now through 1/28/2024|The Triple Door,Now through 1/28/2024,Theatre,Downtown,,
Cheryl Wheeler,1/30/2024|The Triple Door,1/30/2024,Music,Downtown,49.3840843,18.6000893
Gov’t Mule,2/9/2024|The Moore Theatre,2/9/2024,Music,Downtown,47.78185805,19.126043836708632
Sanctuary City,3/1/2024 through 3/31/2024|Seattle Rep,3/1/2024 through 3/31/2024,Theatre,Queen Anne / Seattle Center,,
Positive Fragmentation,Now through 3/10/2024|Bellevue Arts Museum,Now through 3/10/2024,Museums,Bellevue / Eastside,,
Seattle Kraken vs. St. Louis Blues,1/26/2024|Climate Pledge Arena,1/26/2024,Sports,Queen Anne / Seattle Center,46.3911976,16.579662
Seattle Kraken vs. Dallas Stars,3/30/2024|Climate Pledge Arena,3/30/2024,Sports,Queen Anne / Seattle Center,49.3840843,18.6000893
Barber Violin Concerto,5/16/2024 through 5/18/2024|Benaroya Hall,5/16/2024 through 5/18/2024,Music,Downtown,,
Washington: My Home,Ongoing|Washington State History Museum,Ongoing,Museums,South,15.6719272,121.0857257
Not Available,with David Ardila,share,Not Available,Not Available,8.8226416,4.974957
Discover Ancient Coast Salish Culture,Ongoing|Hibulb Cultural Center,Ongoing,Museums,North,15.6719272,121.0857257
Quixote Nuevo,Now through 2/11/2024|Seattle Rep,Now through 2/11/2024,Theatre,Queen Anne / Seattle Center,,
Sophia Al-Maria,Now through 1/31/2024|Henry Art Gallery,Now through 1/31/2024,Museums,University District,,
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024|accesso ShoWare Center,1/27/2024,Sports,South,-25.9579506,32.5619704
Chihuly Garden and Glass,Ongoing|Chihuly Garden and Glass,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Guitar Gallery,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Antonio M. Gomez: LINEAJES,Now through 3/10/2024|Frye Art Museum,Now through 3/10/2024,Museums,Capitol Hill / Central District,,
Deb Perelman,1/25/2024|Town Hall Seattle,1/25/2024,Readings & Lectures,Downtown,49.3840843,18.6000893
Sensory-Friendly Programs,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Festivals & Special Events,Queen Anne / Seattle Center,15.6719272,121.0857257
Madeline Pendleton,1/25/2024|Elliott Bay Book Company,1/25/2024,Readings & Lectures,Capitol Hill / Central District,49.3840843,18.6000893
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024|Marion Oliver McCaw Hall,2/2/2024 through 2/11/2024,Dance,Queen Anne / Seattle Center,,
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024|Benaroya Hall,2/8/2024 through 2/10/2024,Music,Downtown,,
Seattle Kraken vs. Arizona Coyotes,4/9/2024|Climate Pledge Arena,4/9/2024,Sports,Queen Anne / Seattle Center,,
Tacoma Stars vs. San Diego Sockers,1/28/2024|accesso ShoWare Center,1/28/2024,Sports,South,36.2027849,5.430848386663834
A/political Rocks,Now through 1/31/2024|Henry Art Gallery,Now through 1/31/2024,Museums,University District,,
Not Available,Top Results,,Not Available,Not Available,,
Mayer Hawthorne,2/9/2024|The Neptune Theatre,2/9/2024,Music,University District,47.78185805,19.126043836708632
Kenny Barron Trio,2/6/2024 through 2/7/2024|Dimitriou's Jazz Alley,2/6/2024 through 2/7/2024,Music,Downtown,,
K. Wayne Yang,2/13/2024|Town Hall Seattle,2/13/2024,Readings & Lectures,Downtown,47.846739,19.0992909
Sibelius & Nielsen,3/14/2024 through 3/16/2024|Benaroya Hall,3/14/2024 through 3/16/2024,Music,Downtown,,
John Grade: Middle Fork,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
Barry Can’t Swim,2/9/2024|Neumos,2/9/2024,Music,Capitol Hill / Central District,47.78185805,19.126043836708632
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Unriveled,5/10/2024 through 6/2/2024|Seattle Public Theater,5/10/2024 through 6/2/2024,Theatre,Wallingford / Greenlake,,
Show Me Seattle Tours,"Ongoing|Seattle, WA",Ongoing,Tours & Attractions,Downtown,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Not Available,"with Zen Selekta, So Sus",share,Not Available,Not Available,8.8226416,4.974957
Places to Call Home: Settlements in the West,Now through 3/17/2024|Tacoma Art Museum,Now through 3/17/2024,Museums,South,,
Calidore Quartet & Abeo Quartet,3/8/2024|415 Westlake,3/8/2024,Music,Queen Anne / Seattle Center,49.3840843,18.6000893
Seattle Kraken vs. Detroit Red Wings,2/19/2024|Climate Pledge Arena,2/19/2024,Sports,Queen Anne / Seattle Center,47.9111011,18.796463
Luchadora!,2/22/2024 through 3/10/2024|Seattle Children's Theatre,2/22/2024 through 3/10/2024,Theatre,Queen Anne / Seattle Center,,
Nora En Pure,2/2/2024|Showbox SoDo,2/2/2024,Music,Pioneer Square,15.1918243,120.583768
Fossils Uncovered,Ongoing|Burke Museum,Ongoing,Museums,University District,15.6719272,121.0857257
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024|National Nordic Museum,3/22/2024 through 7/21/2024,Museums,Fremont / Ballard,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Not Available,Top Results,,Not Available,Not Available,,
Be/longing: Contemporary Asian Art,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District,15.6719272,121.0857257
Company,6/23/2024 through 6/28/2024|The Paramount Theatre,6/23/2024 through 6/28/2024,Music,Downtown,,
Seattle Museum Month,2/1/2024 through 2/29/2024|Downtown Seattle,2/1/2024 through 2/29/2024,Museums,Downtown,,
Capitol Hill Farmers Market – Sunday,Ongoing|Capitol Hill Farmers Market,Ongoing,Festivals & Special Events,Capitol Hill / Central District,15.6719272,121.0857257
Opera Talk: The Making of X,2/23/2024|Opera Center,2/23/2024,Readings & Lectures,Queen Anne / Seattle Center,47.8460175,19.09874316108224
Soren Solkaer: Sort Sol,Now through 3/10/2024|National Nordic Museum,Now through 3/10/2024,Museums,Fremont / Ballard,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Giant Pacific Octopus,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown,15.6719272,121.0857257
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024|Marion Oliver McCaw Hall,2/24/2024 through 3/9/2024,Music,Queen Anne / Seattle Center,,
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024|Benaroya Hall,2/14/2024 through 2/18/2024,Music,Downtown,,
Fremont Sunday Market,Ongoing|Fremont Farmers Market,Ongoing,Festivals & Special Events,Fremont / Ballard,15.6719272,121.0857257
Antarctic Symphony,4/25/2024 through 4/28/2024|Benaroya Hall,4/25/2024 through 4/28/2024,Music,Downtown,,
Mahler Symphony No. 3,4/11/2024 through 4/14/2024|Benaroya Hall,4/11/2024 through 4/14/2024,Music,Downtown,,
Randy Rainbow for President,2/3/2024|The Paramount Theatre,2/3/2024,Theatre,Downtown,47.7827245,19.125393278504678
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024|National Nordic Museum,Now through 4/7/2024,Museums,Fremont / Ballard,,
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024|Climate Pledge Arena,2/29/2024,Sports,Queen Anne / Seattle Center,47.7808113,19.1292973
Not Available,Top Results,,Not Available,Not Available,,
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024|Benaroya Hall,5/12/2024 through 5/14/2024,Readings & Lectures,Downtown,,
Not Available,Top Results,,Not Available,Not Available,,
American Art: The Stories We Carry,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024|Benaroya Hall,2/2/2024 through 2/3/2024,Music,Downtown,,
Illuminate: Glass Art for Early Learners,Now through 3/31/2024|Museum of Glass,Now through 3/31/2024,Museums,South,,
The Delta Bombers,2/3/2024|El Corazon,2/3/2024,Music,Downtown,47.7827245,19.125393278504678
Not Available,Top Results,,Not Available,Not Available,,
Scott Bradlee’s Postmodern Jukebox,2/11/2024|The Paramount Theatre,2/11/2024,Music,Downtown,,
Not Available,Top Results,,Not Available,Not Available,,
Seattle Kraken vs. Edmonton Oilers,3/2/2024|Climate Pledge Arena,3/2/2024,Sports,Queen Anne / Seattle Center,47.7827245,19.125393278504678
Not Available,Top Results,,Not Available,Not Available,,
The Temptations &  The Four Tops,2/10/2024|The Paramount Theatre,2/10/2024,Music,Downtown,46.98492935,6.852323071619049
Family Day with Birds Connect Seattle,1/28/2024|National Nordic Museum,1/28/2024,Museums,Fremont / Ballard,36.2027849,5.430848386663834
Seattle Kraken vs. Anaheim Ducks,3/26/2024|Climate Pledge Arena,3/26/2024,Sports,Queen Anne / Seattle Center,49.3840843,18.6000893
Honoring Our Journey,Ongoing|Wing Luke Museum,Ongoing,Museums,International District,15.6719272,121.0857257
Taylor Raven and Duke Kim in Recital,4/4/2024|Opera Center,4/4/2024,Music,Queen Anne / Seattle Center,46.9853315,28.8216175
From Mozart to Matthews,2/20/2024|Benaroya Hall,2/20/2024,Music,Downtown,47.5825628,19.0550478
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024|Benaroya Hall,3/21/2024 through 3/24/2024,Music,Downtown,,
Frye Salon,Now through 10/27/2024|Frye Art Museum,Now through 10/27/2024,Museums,Capitol Hill / Central District,,
Kelly Akashi,Now through 2/24/2024|Henry Art Gallery,Now through 2/24/2024,Museums,University District,,
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing|Museum of Glass,Ongoing,Museums,South,15.6719272,121.0857257
Seattle Kraken vs. Anaheim Ducks,3/28/2024|Climate Pledge Arena,3/28/2024,Sports,Queen Anne / Seattle Center,49.3840843,18.6000893
Los Lobos,1/31/2024|The Triple Door,1/31/2024,Music,Downtown,48.933246,15.72334
Maddie Zahm,2/15/2024|The Neptune Theatre,2/15/2024,Music,University District,47.84663065,19.09932921724954
Seattle Kraken vs. Buffalo Sabres,3/18/2024|Climate Pledge Arena,3/18/2024,Sports,Queen Anne / Seattle Center,47.0679497,28.1793269332083
Seattle Kraken vs. Washington Capitals,3/14/2024|Climate Pledge Arena,3/14/2024,Sports,Queen Anne / Seattle Center,47.067162999999994,28.178968694201366
SeattleEvents,Super Diamond – The Neil Diamond Tribute Band,,Not Available,Not Available,,
The Lion Tells His Tale,5/1/2024 through 5/5/2024|Broadway Performance Hall,5/1/2024 through 5/5/2024,Theatre,Capitol Hill / Central District,,
Copland Appalachian Spring,4/4/2024 through 4/6/2024|Benaroya Hall,4/4/2024 through 4/6/2024,Music,Downtown,,
Boundless: Stories of Asian Art,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District,15.6719272,121.0857257
Disney’s Aladdin,4/24/2024 through 4/28/2024|The Paramount Theatre,4/24/2024 through 4/28/2024,Theatre,Downtown,,
Helene Grimaud,3/9/2024|Meany Center for the Performing Arts,3/9/2024,Music,University District,49.3840843,18.6000893
Not Available,Top Results,,Not Available,Not Available,,
Super Diamond – The Neil Diamond Tribute Band,1/26/2024|The Showbox,1/26/2024,Music,Downtown,46.3911976,16.579662
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024|accesso ShoWare Center,1/30/2024,Sports,South,49.3840843,18.6000893
The Thorn,2/8/2024 through 2/9/2024|The Paramount Theatre,2/8/2024 through 2/9/2024,Theatre,Downtown,,
One Thousand Pieces,3/15/2024 through 3/24/2024|Marion Oliver McCaw Hall,3/15/2024 through 3/24/2024,Dance,Queen Anne / Seattle Center,,
Art and Transformation,2/8/2024|Bainbridge Island Museum of Art,2/8/2024,Readings & Lectures,West,47.846262949999996,19.099619263592235
Tacoma Stars vs. Monterrey Flash,2/2/2024|accesso ShoWare Center,2/2/2024,Sports,South,15.1918243,120.583768
Tourist and Amtrac,2/11/2024|The Showbox,2/11/2024,Music,Downtown,47.80408585,19.00216942185292
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024|Benaroya Hall,4/18/2024 through 4/20/2024,Music,Downtown,,
Art by Design,2/9/2024 through 2/10/2024|Seattle Design Center,2/9/2024 through 2/10/2024,Visual Arts & Galleries,Downtown,,
Mister Blank,2/8/2024|Nectar Lounge,2/8/2024,Music,Fremont / Ballard,47.846262949999996,19.099619263592235
The Moors,3/22/2024 through 4/14/2024|Seattle Public Theater,3/22/2024 through 4/14/2024,Theatre,Wallingford / Greenlake,,
The Disorderlies,1/26/2024|Slim's Last Chance,1/26/2024,Music,South Seattle,46.3911976,16.579662
Wintergrass Music Festival,2/22/2024 through 2/25/2024|Hyatt Regency Bellevue,2/22/2024 through 2/25/2024,Festivals & Special Events,Bellevue / Eastside,,
Not Available,Top Results,,Not Available,Not Available,,
True Northwest: The Seattle Journey,Ongoing|Museum of History & Industry,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Love at the Zoo,2/10/2024 through 2/11/2024|Point Defiance Zoo and Aquarium,2/10/2024 through 2/11/2024,Festivals & Special Events,South,,
Spring Awakening,6/7/2024 through 6/30/2024|The 5th Avenue Theatre,6/7/2024 through 6/30/2024,Theatre,Downtown,,
Seattle Kraken vs. Vegas Golden Knights,3/12/2024|Climate Pledge Arena,3/12/2024,Sports,Queen Anne / Seattle Center,47.8208017,19.0414242
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024|accesso ShoWare Center,3/15/2024 through 3/16/2024,Sports,South,,
Andy Coe Band,1/26/2024 through 1/27/2024|Nectar Lounge,1/26/2024 through 1/27/2024,Music,Fremont / Ballard,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024|Tacoma Art Museum,Now through 11/17/2024,Museums,South,,
Pakt,2/1/2024|Funhouse,2/1/2024,Music,Capitol Hill / Central District,47.037631950000005,28.899229096666765
Dark Star Orchestra,2/9/2024|The Showbox,2/9/2024,Music,Downtown,47.78185805,19.126043836708632
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing|Washington State History Museum,Ongoing,Museums,South,15.6719272,121.0857257
Chase Rice,2/10/2024|Showbox SoDo,2/10/2024,Music,Pioneer Square,46.98492935,6.852323071619049
Broadway Spectacular,5/4/2024|Cornish Playhouse at Seattle Center,5/4/2024,Music,Queen Anne / Seattle Center,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026|Bellevue Arts Museum,2/2/2024 through 4/26/2026,Museums,Bellevue / Eastside,,
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024|Climate Pledge Arena,1/28/2024,Sports,Queen Anne / Seattle Center,36.2027849,5.430848386663834
