Name,Date,Location,Type,Region
Conjuring Up Monsterz,3/1/2024,Funhouse,Music,Capitol Hill / Central District
Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown
Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown
Supernova,3/1/2024,The Triple Door,Music,Downtown
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South
Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown
Facades,Now through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown
SuperFolk Festival,3/1/2024 through 3/2/2024,Washington State History Museum,Museums,South
Brian Culbertson,3/2/2024,The Moore Theatre,Music,Downtown
Crypta,3/2/2024,El Corazon,Music,Downtown
Not Fade Away – A Tribute to Buddy Holly,3/2/2024,The Triple Door,Music,Downtown
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown
Freakout Weekender,3/2/2024 through 3/3/2024,The Crocodile,Music,Downtown
Alexperience,3/3/2024,The Moore Theatre,Theatre,Downtown
Barbara McQuade with Jenny Durkan,3/3/2024,Town Hall Seattle,Readings & Lectures,Downtown
Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard
David Nihill,3/3/2024,The Neptune Theatre,Theatre,University District
Jim Knapp Orchestra,3/3/2024,The Royal Room,Music,South Seattle
Meow Meow,3/3/2024,The Triple Door,Theatre,Downtown
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South
Back to Black: The Amy Winehouse Experience,3/3/2024 through 3/4/2024,Sunset Tavern,Music,Fremont / Ballard
Dr. Rajiv Shah,3/4/2024,Town Hall Seattle,Readings & Lectures,Downtown
Empty Graves,3/5/2024,Funhouse,Music,Capitol Hill / Central District
Evan Dando (of the Lemonheads),3/5/2024,The Triple Door,Music,Downtown
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West
Frond,3/5/2024,Sunset Tavern,Music,Fremont / Ballard
Marc E. Bassy,3/5/2024,Neumos,Music,Capitol Hill / Central District
Maria Jose Llergo,3/6/2024,The Triple Door,Music,Downtown
Shawn Phillips,3/6/2024,The Triple Door,Music,Downtown
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard
Critical Mass Big Band,3/7/2024,The Royal Room,Music,South Seattle
Rick Estrin and The Nightcats,3/7/2024,The Triple Door,Music,Downtown
Theresa Caputo Live,3/7/2024,The Moore Theatre,Theatre,Downtown
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown
Ariel Pink,3/9/2024,El Corazon,Music,Downtown
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024,The Royal Room,Music,South Seattle
Sasha LaPointe,3/11/2024,Town Hall Seattle,Readings & Lectures,Downtown
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Special EFX All Stars,3/12/2024,The Triple Door,Music,Downtown
Cody Bartels,3/13/2024,High Dive,Music,Fremont / Ballard
Kendra Morris,3/13/2024,Sunset Tavern,Music,Fremont / Ballard
My Dinner with SAM,3/13/2024,Seattle Art Museum,Museums,Downtown
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Taste Washington: Pacific Standard,3/14/2024,Pier 62,Festivals & Special Events,Downtown
Autoheart,3/15/2024,El Corazon,Music,Downtown
Goose Vargis,3/15/2024,High Dive,Music,Fremont / Ballard
Taste Washington: The New Vintage,3/15/2024,Pier 62,Festivals & Special Events,Downtown
The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South
Matt Hansen,3/16/2024,Barboza,Music,Capitol Hill / Central District
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square
Taste Washington: The Seminars,3/16/2024,"Seattle, WA",Festivals & Special Events,Downtown
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District
Seattle Jewish Film Festival,3/2/2024 through 3/17/2024,"Seattle, WA",Festivals & Special Events,Downtown
Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center
Festal: Irish Festival Seattle,3/16/2024 through 3/17/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Taste Washington: The Grand Tasting,3/16/2024 through 3/17/2024,Lumen Field,Festivals & Special Events,Pioneer Square
BAS,3/17/2024,Neumos,Music,Capitol Hill / Central District
Brad Parsons,3/17/2024,High Dive,Music,Fremont / Ballard
’68,3/18/2024,Funhouse,Music,Capitol Hill / Central District
Jimmy Chamberlin Complex,3/18/2024,Neumos,Music,Capitol Hill / Central District
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Taste Washington: No Frills,3/18/2024,"Seattle, WA",Festivals & Special Events,Downtown
Darkest Hour,3/19/2024,El Corazon,Music,Downtown
Dragontail Peak,3/19/2024,High Dive,Music,Fremont / Ballard
El Perro del Mar,3/19/2024,Barboza,Music,Capitol Hill / Central District
Combichrist,3/20/2024,El Corazon,Music,Downtown
Jon Vinyl,3/20/2024,Barboza,Music,Capitol Hill / Central District
Mayuan Poet,3/20/2024,Neumos,Music,Capitol Hill / Central District
The Forensic Archive of Landscapes: Paloma Contreras Lomas,3/20/2024,Seattle Art Museum,Museums,Downtown
Flyana Boss,3/21/2024,Barboza,Music,Capitol Hill / Central District
glass beach,3/21/2024,Neumos,Music,Capitol Hill / Central District
Taste Washington: Dinner Series,3/21/2024 through 3/23/2024,"Seattle, WA",Festivals & Special Events,Downtown
Jennifer Hartswick Band,3/23/2024,High Dive,Music,Fremont / Ballard
Monster Energy AMA Supercross!,3/23/2024,Lumen Field,Festivals & Special Events,Pioneer Square
Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South
Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown
One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District
Festal: Seattle’s French Fest,3/24/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Jonah Kagen,3/25/2024,Barboza,Music,Capitol Hill / Central District
Kim Dracula,3/25/2024,Neumos,Music,Capitol Hill / Central District
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
DJ DAN with Max Gain,3/29/2024,High Dive,Music,Fremont / Ballard
SAM Remix,3/29/2024,Seattle Art Museum,Museums,Downtown
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center
Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square
Exhibition Tour: Calder,Now through 3/31/2024,Seattle Art Museum,Museums,Downtown
Public Tour: Highlights from SAM’s Collection,Now through 3/31/2024,Seattle Art Museum,Museums,Downtown
Public Tour: Journeys Through Time and Space,Now through 3/31/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown
Sakura-Con 2024,3/29/2024 through 3/31/2024,Seattle Convention Center,Festivals & Special Events,Downtown
Joey Harkum,4/2/2024,High Dive,Music,Fremont / Ballard
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center
Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown
Red Bull Lords of Floor,4/6/2024,WaMu Theater,Dance,Pioneer Square
Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square
Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown
Festal: Seattle Cherry Blossom & Japanese Cultural Festival,4/12/2024 through 4/14/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
Seattle Restaurant Week,4/14/2024 through 4/27/2024,"Seattle, WA",Festivals & Special Events,Downtown
Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown
Skagit Valley Tulip Festival,4/1/2024 through 4/30/2024,Skagit Valley Tulip Festival,Festivals & Special Events,North
My Dinner with SAM,5/2/2024,Olympic Sculpture Park,Museums,Downtown
Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center
Festal: Asian Pacific Islander Heritage Month Celebration,5/4/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Opening Day of Boating Season,5/4/2024,Seattle Yacht Club,Festivals & Special Events,University District
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District
Seattle Sounders FC vs. LA Galaxy,5/5/2024,Lumen Field,Sports,Pioneer Square
Melanie Martinez,5/10/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
Festal: Spirit of Africa,5/11/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024,Seattle Art Museum,Museums,Downtown
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown
Seattle Storm vs Minnesota Lynx,5/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Rolling Stones,5/15/2024,Lumen Field,Music,Pioneer Square
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown
Festal: A Glimpse of China – Seattle Chinese Culture & Arts Festival,5/18/2024,"Seattle, WA",Festivals & Special Events,Downtown
Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024,Lumen Field,Sports,Pioneer Square
Seattle International Film Festival,5/9/2024 through 5/19/2024,"Seattle, WA",Festivals & Special Events,Downtown
U District Street Fair,5/18/2024 through 5/19/2024,"Seattle, WA",Festivals & Special Events,Downtown
Madness,5/22/2024,WaMu Theater,Music,Pioneer Square
Seattle Storm vs. Indiana Fever,5/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Seattle Storm vs. Washington Mystics,5/25/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
53rd Annual Northwest Folklife Festival,5/24/2024 through 5/27/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Seattle Sounders FC vs. Real Salt Lake,5/29/2024,Lumen Field,Sports,Pioneer Square
Caifanes and Cafe Tacvba,5/30/2024,WaMu Theater,Music,Pioneer Square
Unriveled,5/10/2024 through 6/2/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake
Festal: Pagdiriwang Philippine Festival,6/1/2024 through 6/2/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Seattle Storm vs. Phoenix Mercury,6/4/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Festal: Indigenous People Festival,6/8/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024,Benaroya Hall,Music,Downtown
Seattle Storm vs. Los Angeles Sparks,6/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Third Eye Blind,6/13/2024,WaMu Theater,Music,Pioneer Square
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024,Benaroya Hall,Music,Downtown
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024,Seattle Art Museum,Museums,Downtown
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown
Festal: Seattle Iranian Festival,6/22/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Seattle Sounders FC vs. Minnesota United FC,6/22/2024,Lumen Field,Sports,Pioneer Square
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Seattle Storm vs. Connecticut Sun,6/23/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Indiana Fever,6/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
